CURSO,DESCRIPCION,CALIFICACION
Python para el análisis de datos,Domina el poder de la ciencia de datos en <strong>Python</strong>. El curso perfecto para principiantes sin experiencia en programación.,4.49
Curso completo de Machine Learning: Data Science en Python,Aprende los algoritmos de Machine Learning con <strong>Python</strong> para convertirte en un Data Scientist y descarga todo el código,4.49
+100 Ejercicios Resueltos en Python,Aprende a Programar en <strong>Python</strong> con ejercicios resueltos en Google Colab y Jupyter Notebook,4.22
Python Para Finanzas,Optimización de un Portafolio de Inversiones. Métricas de Inversión y Estadística Aplicada a los Mercados Financieros.,4.01
Python A-Z: Python para Data Science con Ejercicios Reales!,"Programación en <strong>Python</strong> para Data Science y Análisis de Datos. Aprende Análisis Estadístico, Data Mining, Visualizaciones",4.41
"Python en Excel usando la función PY: Pandas, Seaborn y más!",Nueva integración de Excel (Función PY) | Chat GPT| <strong>Python</strong> en excel | Pandas|| Numpy| Matplotlib| Seaborn y mucho más!,4.84
Automatiza tus Tareas con Python,"SQL, <strong>Python</strong> Excel, APIs, Webscraping. Combinarás todas estas tecnologías para hacer tu día a día mas sencillo",4.12
Python para visión artificial,<strong>Python</strong> + Visión Artificial + Machine Learning + Raspberry + Multi Hilo + Bases de datos,4.56
Curso de python enfocado en Tkinter,Aprende las Bases de <strong>Python</strong> y realizar Interfaces Gráficas de usuario(GUI),4.53
Curso Práctico de Django: Desarrollo Web Backend con Python,Curso compatible con Django 2 al 5. Aprende de forma práctica creando proyectos y una colección de apps reutilizables.,4.61
Construye un sitio web en Python,Curso intensivo para generar un sitio web en <strong>python</strong> paso a paso y de forma sencilla,4.62
Bases de Datos en Python: Domina MySQL de Cero a Experto,"Bases de Datos Relaciones, MySQL, <strong>Python</strong>, Lenguaje SQL, Teoría, Prácticas y Proyectos",4.85
Escuela de Python: Aprende Python 3.9+ de cero a Master,Aprende <strong>Python</strong> desde cero hasta crear tus propias aplicaciones con Tkinter y desarrollo web con Flask,4.83
Python para principiantes - Aprende a programar desde 0,<strong>Python</strong> para principiantes: destinado a quienes quieren aprender programación con el lenguaje <strong>python</strong>,4.23
Crea y automatiza Reportes con Python en Word y Excel.,Crea reportes de forma automatizada y profesionales con estadísticas con <strong>Python</strong>. En formato de Excel y Word.,4.63
Curso de Python desde CERO,Aprenda uno de los lenguajes de programación más populares y creemos juntos nuestras primeras aplicaciones con <strong>python</strong>,4.82
Machine Learning de A a la Z: R y Python para Data Science,Aprende a crear algoritmos de Machine Learning en <strong>Python</strong> y R con expertos en Data Science. Con código fuente incluido!,4.56
Cómputo Paralelo en Python: Optimización de Código,Domina Técnicas de Programación Paralela en <strong>Python</strong> para Optimizar el Rendimiento y Eficiencia de tus Códigos/Programas,4.48
Curso Práctico de Qt/PySide: Interfaces Gráficas con Python,Aprende a utilizar y dominar el módulo de interfaces más potente para <strong>Python</strong> creando multitud de proyectos gráficos.,4.89
Python para la Oficina,Aprende desde cero e Incrementa tu productividad en el trabajo,4.66
Introduccion a Python,¡Aprende <strong>Python</strong> como un profesional! ¡Comienza desde lo básico y aprender a  crear tus propias aplicaciones !,4.73
Universidad Python con la IA de ChatGPT - De Cero a Experto!,"El mejor curso para aprender <strong>Python</strong> con ayuda la IA de ChatGTP - POO, Archivos, Tkinter, Flask, Mysql, HTML, CSS y más!",4.73
Manual de referencia Data Science: Machine Learning (Python),Con documentos de teoría + archivos y plantillas de código + ejercicios prácticos. ¡Todo lo que necesitas!,4.78
